<<<msexch_database:sep(59)>>>
locale; en-US
"Path";"CookedValue"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\table open cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\table opens/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\table closes/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\tables open";"4294967153"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log bytes write/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log bytes generated/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log threads waiting";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log generation checkpoint depth";"39"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log generation checkpoint depth target";"102"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log checkpoint depth as a % of target";"38.2352941176471"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log generation checkpoint depth max";"10240"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log generation loss resiliency depth";"1"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log files generated";"20"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log files generated prematurely";"2"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log file current generation";"40"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log writes/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\log record stalls/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\version buckets allocated";"1"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database cache size (mb)";"247"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database cache misses/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database cache % hit";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database cache % hit (unique)";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database cache requests/sec (unique)";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database cache requests/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\streaming backup pages read/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database maintenance duration";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database reads (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database reads (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database reads (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database reads (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database reads/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database reads average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o log reads/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o log reads average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database writes (attached)/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database writes (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database writes (recovery)/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database writes (recovery) average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database writes/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o database writes average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o flush map writes/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o flush map writes average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o log writes/sec";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\i/o log writes average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database cache miss (attached) average latency";"0"
"\\winmx\msexchange database ==> instances(information store - mailbox database 1389050408/_total)\database oldest transaction";"0"
