Name,Version,License,Link License Text,Repository path,Comment
@babel/plugin-syntax-dynamic-import,7.8.3,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-export-namespace-from,7.8.3,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-import-assertions,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-import-attributes,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-import-meta,7.10.4,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-json-strings,7.8.3,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-jsx,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-logical-assignment-operators,7.10.4,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-nullish-coalescing-operator,7.8.3,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-numeric-separator,7.10.4,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-object-rest-spread,7.8.3,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-optional-catch-binding,7.8.3,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-optional-chaining,7.8.3,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-private-property-in-object,7.14.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-top-level-await,7.14.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-typescript,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-syntax-unicode-sets-regex,7.18.6,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-arrow-functions,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-async-generator-functions,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-async-to-generator,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-block-scoped-functions,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-block-scoping,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-class-properties,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-class-static-block,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-classes,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-computed-properties,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-destructuring,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-dotall-regex,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-duplicate-keys,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-dynamic-import,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-exponentiation-operator,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-export-namespace-from,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-for-of,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-function-name,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-json-strings,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-literals,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-logical-assignment-operators,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-member-expression-literals,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-modules-amd,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-modules-commonjs,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-modules-systemjs,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-modules-umd,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-named-capturing-groups-regex,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-new-target,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-nullish-coalescing-operator,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-numeric-separator,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-object-rest-spread,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-object-super,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-optional-catch-binding,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-optional-chaining,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-parameters,7.22.15,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-private-methods,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-private-property-in-object,7.22.11,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-property-literals,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-regenerator,7.22.10,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-reserved-words,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-shorthand-properties,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-spread,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-sticky-regex,7.22.5,MIT,https://opensource.org/licenses/MIT,,
@babel/plugin-transform-template-literals,7.22.5,MIT,https://opensource.org/licenses/MIT,,
